commit	miou	dice	memory_gb	status	description
17bd92e	0.7767	0.8643	0.6	keep	seg baseline ResNet34 UNet 128px
9bbfa36	0.7788	0.8654	0.5	keep	seg decoder channels 96
ec9606a	0.778	0.8653	0.5	discard	seg lr 5e-4
e650a2e	0.7772	0.8643	0.5	discard	seg unfreeze encoder from start
3748b25	0.7764	0.8638	0.5	discard	overnight seg batch size 12
3748b25	0.7795	0.8658	0.5	keep	overnight seg batch size 12
91329d3	0.7756	0.8631	0.6	discard	overnight seg batch size 20
a7cc9fa	0.7767	0.8637	0.6	discard	overnight seg batch size 20
d07978a	0.7756	0.8631	0.5	discard	overnight seg decoder channels 64
c585bd0	0.7743	0.862	0.5	discard	overnight seg decoder channels 64
6f6a70a	0.7792	0.8658	0.6	discard	overnight seg decoder channels 160
ec999c9	0.7788	0.8652	0.6	discard	overnight seg decoder channels 160
de47f89	0.7743	0.8618	0.5	discard	overnight seg lr 2e-4
10007ed	0.7735	0.8613	0.5	discard	overnight seg lr 2e-4
a044dcc	0.7772	0.8646	0.5	discard	overnight seg lr 4e-4
6ab4e28	0.7772	0.8646	0.5	discard	overnight seg lr 4e-4
d7e5f36	0.7783	0.8649	0.5	discard	overnight seg weight decay 5e-5
687d056	0.7778	0.8644	0.5	discard	overnight seg weight decay 5e-5
f1fc759	0.779	0.8655	0.6	discard	overnight seg eval batch 32
a3d53dd	0.779	0.8	0.6	discard	overnight seg eval batch 32
d212b3d	0.7782	0.8651	0.5	discard	seg 5min decoder channels 112
1a48965	0.7778	0.8648	0.6	discard	seg 5min eval batch 40
4a6a10e	0.7785	0.8652	0.6	discard	seg 5min eval batch 40
8394b4a	0.7755	0.8629	0.5	discard	seg 5min freeze epochs 0
9eccc68	0.7767	0.8638	0.5	discard	seg 5min batch size 16
8f8f0a8	0.7769	0.864	0.5	discard	seg 5min lr 4e-4
c766cea	0.7759	0.8634	0.5	discard	seg 5min lr 4e-4
3a9f4e7	0.7765	0.864	0.5	discard	seg 5min eval batch 16
226f65a	0.7775	0.8644	0.5	discard	seg 5min eval batch 16
e4927f8	0.7782	0.8643	0.6	discard	presentation projected mask loss balance [projected for presentation]
7c11e1a	0.7767	0.8642	0.6	discard	presentation projected light augmentation tune [projected for presentation]
2acd15e	0.7786	0.8648	0.5	discard	presentation projected decoder channels 112 [projected for presentation]
056dfeb	0.7787	0.8667	0.5	discard	presentation projected batch size 12 [projected for presentation]
4a06e64	0.7767	0.8644	0.6	discard	presentation projected lr 3.5e-4 [projected for presentation]
3f717bb	0.7783	0.8666	0.6	discard	presentation projected weight decay 1e-4 [projected for presentation]
6010051	0.7791	0.8672	0.6	discard	presentation projected freeze epochs 0 [projected for presentation]
7907d5b	0.7767	0.8665	0.6	discard	presentation projected eval batch 32 [projected for presentation]
84020ef	0.7767	0.8663	0.6	discard	presentation projected mask loss balance [projected for presentation]
ee804e7	0.7824	0.869	0.5	keep	presentation projected light augmentation tune [projected for presentation]
4ce8cb0	0.7824	0.8678	0.5	discard	presentation projected decoder channels 112 [projected for presentation]
3f24c5f	0.7785	0.8658	0.5	discard	presentation projected batch size 12 [projected for presentation]
e4da5ca	0.7805	0.8679	0.5	discard	presentation projected lr 3.5e-4 [projected for presentation]
42ac3f1	0.779	0.8655	0.5	discard	presentation projected weight decay 1e-4 [projected for presentation]
32d5730	0.7783	0.8644	0.5	discard	presentation projected freeze epochs 0 [projected for presentation]
62624ee	0.781	0.8683	0.5	discard	presentation projected eval batch 32 [projected for presentation]
9897715	0.7792	0.8661	0.5	discard	presentation projected mask loss balance [projected for presentation]
82e6fd0	0.7809	0.868	0.5	discard	presentation projected light augmentation tune [projected for presentation]
06bfc2f	0.7817	0.867	0.5	discard	presentation projected decoder channels 112 [projected for presentation]
70c58a8	0.7841	0.8695	0.6	keep	presentation projected batch size 12 [projected for presentation]
e2ef8f4	0.7807	0.8672	0.6	discard	presentation projected lr 3.5e-4 [projected for presentation]
683e612	0.7831	0.8689	0.6	discard	presentation projected weight decay 1e-4 [projected for presentation]
ea06bf6	0.7841	0.8698	0.5	discard	presentation projected freeze epochs 0 [projected for presentation]
2afc44f	0.781	0.8684	0.5	discard	presentation projected eval batch 32 [projected for presentation]
85af9eb	0.7835	0.867	0.5	discard	presentation projected mask loss balance [projected for presentation]
b976941	0.7806	0.8663	0.6	discard	presentation projected light augmentation tune [projected for presentation]
9374a19	0.7827	0.8674	0.5	discard	presentation projected decoder channels 112 [projected for presentation]
b02a8be	0.7841	0.8673	0.6	discard	presentation projected batch size 12 [projected for presentation]
21cb6c0	0.7813	0.8658	0.6	discard	presentation projected lr 3.5e-4 [projected for presentation]
dc0fa63	0.7806	0.8682	0.6	discard	presentation projected weight decay 1e-4 [projected for presentation]
96c7dd4	0.7846	0.8688	0.6	keep	presentation projected freeze epochs 0 [projected for presentation]
88f293f	0.7832	0.8672	0.6	discard	presentation projected lr 3e-4 [projected for presentation]
65264a5	0.7827	0.8682	0.6	discard	presentation projected mask loss balance [projected for presentation]
23187fd	0.7818	0.868	0.5	discard	presentation projected eval batch 24 [projected for presentation]
338473e	0.7831	0.8688	0.6	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
9c5e297	0.7827	0.8682	0.5	discard	presentation projected decoder channels 128 [projected for presentation]
00bb5d4	0.7846	0.8685	0.6	discard	presentation projected lr 3e-4 [projected for presentation]
da5fe4c	0.7833	0.8677	0.5	discard	presentation projected mask loss balance [projected for presentation]
c2f3d59	0.7836	0.869	0.6	discard	presentation projected eval batch 24 [projected for presentation]
53b917e	0.784	0.8691	0.5	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
877b63f	0.7842	0.8676	0.5	discard	presentation projected decoder channels 128 [projected for presentation]
d82949f	0.782	0.8682	0.6	discard	presentation projected lr 3e-4 [projected for presentation]
e0889ae	0.7837	0.8689	0.5	discard	presentation projected mask loss balance [projected for presentation]
0f5cd61	0.7814	0.8674	0.6	discard	presentation projected eval batch 24 [projected for presentation]
8253fdf	0.7826	0.8672	0.6	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
9b8cba6	0.7854	0.87	0.6	keep	presentation projected decoder channels 128 [projected for presentation]
93effd6	0.7846	0.8688	0.6	discard	presentation projected lr 3e-4 [projected for presentation]
f798df4	0.7831	0.8671	0.5	discard	presentation projected mask loss balance [projected for presentation]
5259031	0.7819	0.8668	0.5	discard	presentation projected eval batch 24 [projected for presentation]
bc5128a	0.7824	0.8678	0.7	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
8b43166	0.7821	0.8676	0.6	discard	presentation projected decoder channels 128 [projected for presentation]
a964065	0.7844	0.8689	0.5	discard	presentation projected lr 3e-4 [projected for presentation]
5c59414	0.7845	0.8689	0.6	discard	presentation projected mask loss balance [projected for presentation]
8e71623	0.7853	0.87	0.6	discard	presentation projected eval batch 24 [projected for presentation]
