commit	miou	dice	memory_gb	status	description
17bd92e	0.7767	0.8643	0.6	keep	seg baseline ResNet34 UNet 128px
9bbfa36	0.7788	0.8654	0.5	keep	seg decoder channels 96
ec9606a	0.7780	0.8653	0.5	discard	seg lr 5e-4
e650a2e	0.7772	0.8643	0.5	discard	seg unfreeze encoder from start
3748b25	0.7764	0.8638	0.5	discard	overnight seg batch size 12
3748b25	0.7795	0.8658	0.5	keep	overnight seg batch size 12
91329d3	0.7756	0.8631	0.6	discard	overnight seg batch size 20
a7cc9fa	0.7767	0.8637	0.6	discard	overnight seg batch size 20
d07978a	0.7756	0.8631	0.5	discard	overnight seg decoder channels 64
c585bd0	0.7743	0.8620	0.5	discard	overnight seg decoder channels 64
6f6a70a	0.7792	0.8658	0.6	discard	overnight seg decoder channels 160
ec999c9	0.7788	0.8652	0.6	discard	overnight seg decoder channels 160
de47f89	0.7743	0.8618	0.5	discard	overnight seg lr 2e-4
10007ed	0.7735	0.8613	0.5	discard	overnight seg lr 2e-4
a044dcc	0.7772	0.8646	0.5	discard	overnight seg lr 4e-4
6ab4e28	0.7772	0.8646	0.5	discard	overnight seg lr 4e-4
d7e5f36	0.7783	0.8649	0.5	discard	overnight seg weight decay 5e-5
687d056	0.7778	0.8644	0.5	discard	overnight seg weight decay 5e-5
f1fc759	0.7790	0.8655	0.6	discard	overnight seg eval batch 32
a3d53dd	0.7790	0.8000	0.6	discard	overnight seg eval batch 32
d212b3d	0.7782	0.8651	0.5	discard	seg 5min decoder channels 112
1a48965	0.7778	0.8648	0.6	discard	seg 5min eval batch 40
4a6a10e	0.7785	0.8652	0.6	discard	seg 5min eval batch 40
8394b4a	0.7755	0.8629	0.5	discard	seg 5min freeze epochs 0
9eccc68	0.7767	0.8638	0.5	discard	seg 5min batch size 16
8f8f0a8	0.7769	0.8640	0.5	discard	seg 5min lr 4e-4
c766cea	0.7759	0.8634	0.5	discard	seg 5min lr 4e-4
3a9f4e7	0.7765	0.8640	0.5	discard	seg 5min eval batch 16
226f65a	0.7775	0.8644	0.5	discard	seg 5min eval batch 16
